party,iso3,unfccc_yr,unfccc_net,unfccc_gross,primap_yr,primap_net,primap_gross,peak_yr_net,peak_ghg_net,peak_yr_gross,peak_ghg_gross,nz_yr,ndc30_low,ndc30_high,ndc30_lulucf,ndc35_low,ndc35_high,ndc35_lulucf,s2z_aligned_label,s2z_pk_low,s2z_pk_high,s2z_ndc30_low,s2z_ndc30_high,s2z_latest,c1_ghg_p5,c1_ghg_p95,c2_ghg_p5,c2_ghg_p95,c3_ghg_p5,c3_ghg_p95,c4_ghg_p5,c4_ghg_p95,c5_ghg_p5,c5_ghg_p95,c6_ghg_p5,c6_ghg_p95,c7_ghg_p5,c7_ghg_p95,nz_min,nz_max,b2c_min,b2c_max,fw_min,fw_max,cp_min,cp_max
Afghanistan,AFG,2013,54236.00000000001,43228,2024,52567.365,52123.694,,,,,,42283.296,42283.296,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,6727.58,2024,11690.691,10260.288,,,2017,8033.149999999999,,11978,11978,Yes,,,,,,,,,,,,,,,,,,,,,,,,9260.1,13775.1,7181,15815.9,13679.4,18146.9,13189.5,16908.5
Algeria,DZA,2022,228755.2526,240201.7495037529,2024,236771.74,247924.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134284.9,193083.6,131442.8,292831,254959.6,342478.8,248172.1,359023.1
Andorra,AND,2021,230.74,435.87,2024,298.97319,434.8457,2005,370.73,2005,571.91,2050,203.5,203.5,Yes,137,137,Yes,Yes,123.5766666666649,123.5766666666649,152.6250000000005,152.6250000000005,119.3482758620696,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,2020,211527.88,33354.113,2024,213321.73,82291.011,1998,239933.84,,,,144804.48,178743.03,Yes,189013,200951.486,Yes,,,,,,,,,,,,,,,,,,,,,211941.7,237275.5,147696.1,196482.9,200259.7,236428.7,208003.7,249925.5
Antigua and Barbuda,ATG,2000,608.95,597.75,2024,981.84072,810.89001,,,,,2040,,,,,,,,,,,,393.3935347356226,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,2022,400920.5923,349515.9422282659,2024,385717.71,337713.36,2007,450092.8534,,,2050,349000,349000,Yes,,,,,157009.1349069771,157009.1349069771,261750,261750,221848.0307278624,139738.4794366478,195329.7688394951,111559.440612793,473653.5369956589,129962.7990722656,505479.0890597925,176002.6168823242,531292.4174593962,222910.2935791016,552290.393351166,229476.1810302734,692778.1160694204,311503.3874511719,728093.7013451507,-257359.7,235129.5,-379655,263429.1,309512.8,326675.3,-34566.4,417285.2
Armenia,ARM,2010,6663.592,7202.166,2024,11851.663,12336.938,,,,,,14515.4934,14515.4934,Yes,11404,13516,Yes,,,,,,,,,,,,,,,,,,,,,5849.8,9248.200000000001,5310.8,10455.9,11293.2,13045.7,12976.5,15252.2
Australia,AUS,2023,453448.9113,527150.3203,2024,460601.11,537346.78,2006,648433.085,2018,563874.2165,2050,348801.002139,348801.002139,Yes,183579.4748192082,232534.0014376637,Yes,Yes,221056.7335227279,221056.7335227279,261600.7516042519,261600.7516042519,264247.5645155573,137746.5573102947,263958.4331411908,118484.4207763672,432923.4900621424,108137.3596191406,495443.530361332,211613.4948730468,610545.3852332548,300242.9809570312,620442.2727989915,317254.7912597656,454259.3756323032,357784.912109375,707119.4342732364,-70298.3,174342.2,-115905.9,236872.3,321333.7,371756,233125.4,429896.4
Azerbaijan,AZE,2022,69498.87669999999,74704.7345963511,2024,75868.50199999999,81388.29700000001,,,,,,54990.229307,54990.229307,Yes,49620,49620,Yes,,,,,,,,,,,,,,,,,,,,,27080.8,37092.9,25275.7,49376.1,56298,63848.8,58128.7,70892.3
