iso3,year,ngfs_ghg,catgen
AGO,2035,196.4829,b2c
AGO,2035,147.6961,b2c
AGO,2035,208.0037,cp
AGO,2035,249.9255,cp
AGO,2035,236.4287,fw
AGO,2035,200.2597,fw
AGO,2035,211.9417,nz
AGO,2035,237.2755,nz
ALB,2035,15.8159,b2c
ALB,2035,7.181,b2c
ALB,2035,16.9085,cp
ALB,2035,13.1895,cp
ALB,2035,18.1469,fw
ALB,2035,13.6794,fw
ALB,2035,9.2601,nz
ALB,2035,13.7751,nz
ARE,2035,141.1541,b2c
ARE,2035,72.6606,b2c
ARE,2035,202.9448,cp
ARE,2035,171.7911,cp
ARE,2035,162.3208,fw
ARE,2035,174.321,fw
ARE,2035,69.44889999999999,nz
ARE,2035,125.534,nz
ARG,2035,263.4291,b2c
ARG,2035,-379.655,b2c
ARG,2035,417.2852,cp
ARG,2035,-34.5664,cp
ARG,2035,309.5128,fw
ARG,2035,326.6753,fw
ARG,2035,-257.3597,nz
ARG,2035,235.1295,nz
ARM,2035,10.4559,b2c
ARM,2035,5.3108,b2c
ARM,2035,12.9765,cp
ARM,2035,15.2522,cp
ARM,2035,13.0457,fw
ARM,2035,11.2932,fw
ARM,2035,5.8498,nz
ARM,2035,9.248200000000001,nz
AUS,2035,-115.9059,b2c
AUS,2035,236.8723,b2c
AUS,2035,429.8964,cp
AUS,2035,233.1254,cp
AUS,2035,321.3337,fw
AUS,2035,371.756,fw
AUS,2035,174.3422,nz
AUS,2035,-70.2983,nz
AUT,2035,43.9207,b2c
AUT,2035,26.0966,b2c
AUT,2035,55.0913,cp
AUT,2035,57.5314,cp
AUT,2035,49.2231,fw
AUT,2035,48.2046,fw
AUT,2035,24.2219,nz
AUT,2035,39.6436,nz
AZE,2035,49.3761,b2c
AZE,2035,25.2757,b2c
AZE,2035,58.1287,cp
AZE,2035,70.89230000000001,cp
AZE,2035,56.298,fw
AZE,2035,63.8488,fw
AZE,2035,37.0929,nz
AZE,2035,27.0808,nz
BEL,2035,36.1632,b2c
BEL,2035,69.3562,b2c
BEL,2035,89.5286,cp
BEL,2035,81.4744,cp
BEL,2035,76.90860000000001,fw
BEL,2035,78.6212,fw
BEL,2035,62.8396,nz
BEL,2035,34.6535,nz
BEN,2035,6.0971,b2c
BEN,2035,-7.2513,b2c
BEN,2035,14.0686,cp
BEN,2035,29.5319,cp
BEN,2035,9.0268,fw
BEN,2035,17.0795,fw
BEN,2035,4.7253,nz
BEN,2035,-2.9323,nz
BGD,2035,218.8831,b2c
BGD,2035,188.4963,b2c
BGD,2035,438.6039,cp
BGD,2035,319.5151,cp
BGD,2035,335.7428,fw
BGD,2035,253.0327,fw
BGD,2035,129.1177,nz
BGD,2035,201.6089,nz
BGR,2035,12.0083,b2c
BGR,2035,27.6107,b2c
BGR,2035,26.8695,cp
BGR,2035,32.3404,cp
BGR,2035,30.6597,fw
BGR,2035,23.7839,fw
BGR,2035,12.7671,nz
BGR,2035,21.0715,nz
BHR,2035,21.6482,b2c
BHR,2035,12.8232,b2c
BHR,2035,29.4993,cp
BHR,2035,25.581,cp
BHR,2035,26.0503,fw
BHR,2035,26.4323,fw
BHR,2035,10.6535,nz
BHR,2035,18.6169,nz
BIH,2035,11.6156,b2c
BIH,2035,-3.0734,b2c
BIH,2035,12.6883,cp
BIH,2035,8.5877,cp
BIH,2035,9.9673,fw
BIH,2035,14.4798,fw
BIH,2035,6.8775,nz
BIH,2035,3.8987,nz
BLR,2035,3.4812,b2c
BLR,2035,36.1458,b2c
BLR,2035,66.0984,cp
BLR,2035,45.5745,cp
BLR,2035,42.6296,fw
BLR,2035,67.8514,fw
BLR,2035,21.9762,nz
BLR,2035,9.249000000000001,nz
BOL,2035,-12.4654,b2c
BOL,2035,54.1518,b2c
BOL,2035,11.7148,cp
BOL,2035,59.2786,cp
BOL,2035,55.4569,fw
BOL,2035,64.92529999999999,fw
BOL,2035,49.4287,nz
BOL,2035,1.4334,nz
BRA,2035,-1071.9977,b2c
BRA,2035,647.3826,b2c
BRA,2035,1327.7354,cp
BRA,2035,-93.2364,cp
BRA,2035,926.6573,fw
BRA,2035,330.7185,fw
BRA,2035,-873.0646,nz
BRA,2035,531.7214,nz
BRN,2035,6.6302,b2c
BRN,2035,4.449,b2c
BRN,2035,9.325900000000001,cp
BRN,2035,5.247,cp
BRN,2035,5.6038,fw
BRN,2035,9.390599999999999,fw
BRN,2035,6.5269,nz
BRN,2035,4.8261,nz
BWA,2035,-16.2612,b2c
BWA,2035,-10.0222,b2c
BWA,2035,-3.0629,cp
BWA,2035,3.4479,cp
BWA,2035,-3.9631,fw
BWA,2035,-6.457,fw
BWA,2035,-14.926,nz
BWA,2035,-10.9036,nz
CAN,2035,407.8424,b2c
CAN,2035,64.64700000000001,b2c
CAN,2035,613.5375,cp
CAN,2035,247.5724,cp
CAN,2035,459.6105,fw
CAN,2035,415.592,fw
CAN,2035,122.8096,nz
CAN,2035,364.9391,nz
CHE,2035,14.4641,b2c
CHE,2035,39.3101,b2c
CHE,2035,39.4615,cp
CHE,2035,44.4822,cp
CHE,2035,36.7499,fw
CHE,2035,46.3386,fw
CHE,2035,16.2022,nz
CHE,2035,37.2385,nz
CHL,2035,-18.9584,b2c
CHL,2035,4.9461,b2c
CHL,2035,35.2781,cp
CHL,2035,57.9855,cp
CHL,2035,35.7437,fw
CHL,2035,63.8383,fw
CHL,2035,-23.0224,nz
CHL,2035,-6.9997,nz
CHN,2035,10992.1879,b2c
CHN,2035,3109.1246,b2c
CHN,2035,15176.9405,cp
CHN,2035,11029.701,cp
CHN,2035,12803.188,fw
CHN,2035,13311.9156,fw
CHN,2035,3325.1601,nz
CHN,2035,9270.6047,nz
CIV,2035,54.1343,b2c
CIV,2035,74.3986,b2c
CIV,2035,81.82940000000001,cp
CIV,2035,125.1404,cp
CIV,2035,76.4502,fw
CIV,2035,86.667,fw
CIV,2035,80.5372,nz
CIV,2035,69.9235,nz
CMR,2035,45.9217,b2c
CMR,2035,69.8245,b2c
CMR,2035,98.68170000000001,cp
CMR,2035,79.02119999999999,cp
CMR,2035,70.8754,fw
CMR,2035,84.3235,fw
CMR,2035,85.3767,nz
CMR,2035,71.9603,nz
COD,2035,-492.4304,b2c
COD,2035,-232.8659,b2c
COD,2035,-210.0214,cp
COD,2035,-56.9056,cp
COD,2035,-227.9809,fw
COD,2035,-129.0251,fw
COD,2035,-275.9363,nz
COD,2035,-107.8377,nz
COG,2035,74.0622,b2c
COG,2035,83.69889999999999,b2c
COG,2035,90.00109999999999,cp
COG,2035,80.6918,cp
COG,2035,81.64790000000001,fw
COG,2035,88.7483,fw
COG,2035,91.44499999999999,nz
COG,2035,96.7042,nz
COL,2035,-193.0686,b2c
COL,2035,137.0203,b2c
COL,2035,12.1232,cp
COL,2035,281.2542,cp
COL,2035,199.4833,fw
COL,2035,203.4871,fw
COL,2035,-126.3337,nz
COL,2035,127.1205,nz
CRI,2035,15.7742,b2c
CRI,2035,4.9565,b2c
CRI,2035,19.1427,cp
CRI,2035,14.4566,cp
CRI,2035,19.941,fw
CRI,2035,14.8341,fw
CRI,2035,13.7608,nz
CRI,2035,5.546,nz
CUB,2035,15.1106,b2c
CUB,2035,-20.4604,b2c
CUB,2035,20.279,cp
CUB,2035,-1.3628,cp
CUB,2035,7.0142,fw
CUB,2035,23.3242,fw
CUB,2035,-17.5182,nz
CUB,2035,11.8778,nz
CYP,2035,7.7436,b2c
CYP,2035,2.6284,b2c
CYP,2035,9.9064,cp
CYP,2035,6.487,cp
CYP,2035,8.6151,fw
CYP,2035,6.7053,fw
CYP,2035,3.5554,nz
CYP,2035,7.1333,nz
CZE,2035,43.8164,b2c
CZE,2035,84.4923,b2c
CZE,2035,102.8676,cp
CZE,2035,79.87350000000001,cp
CZE,2035,93.2055,fw
CZE,2035,83.5882,fw
CZE,2035,72.4614,nz
CZE,2035,48.1239,nz
DEU,2035,402.5161,b2c
DEU,2035,180.0143,b2c
DEU,2035,424.8604,cp
DEU,2035,577.3365,cp
DEU,2035,469,fw
DEU,2035,465.2453,fw
DEU,2035,305.2367,nz
DEU,2035,162.8903,nz
DNK,2035,31.8372,b2c
DNK,2035,17.9033,b2c
DNK,2035,35.6713,cp
DNK,2035,42.1516,cp
DNK,2035,36.2394,fw
DNK,2035,34.6506,fw
DNK,2035,18.968,nz
DNK,2035,29.7205,nz
DOM,2035,13.2395,b2c
DOM,2035,36.4487,b2c
DOM,2035,31.2593,cp
DOM,2035,56.7598,cp
DOM,2035,59.6445,fw
DOM,2035,31.2354,fw
