iso3,year,category,ghg_p5,ghg_p95,ipcc_ghg_tot,id
ARG,2035,C1,139.7384794366478,195.329768839495,139.7384794366478,"GEM-E3_V2021, EN_NPi2020_500"
ARG,2035,C2,111.559440612793,473.6535369956589,159.5852813720703,"POLES ENGAGE, EN_INDCi2030_400f"
ARG,2035,C3,129.9627990722656,505.4790890597925,505.4790890597925,"GEM-E3_V2021, EN_INDCi2030_1000_COV_NDCp"
ARG,2035,C4,176.0026168823242,531.2924174593962,204.5385284423828,"POLES ENGAGE, EN_NPi2020_1200f"
ARG,2035,C5,222.9102935791016,552.290393351166,440.1790957531286,"GEM-E3_V2021, EN_NPi2020_1800f"
ARG,2035,C6,229.4761810302734,692.7781160694203,268.044189453125,"POLES ENGAGE, EN_INDCi2030_2500"
ARG,2035,C7,311.5033874511719,728.0937013451507,501.1932868,"GCAM 5.3, NGFS2_Current Policies"
AUS,2035,C1,137.7465573102947,263.9584331411908,137.7465573102947,"GEM-E3_V2021, EN_NPi2020_500"
AUS,2035,C2,118.4844207763672,432.9234900621424,432.9234900621424,"GEM-E3_V2021, EN_INDCi2030_800f"
AUS,2035,C3,108.1373596191406,495.443530361332,174.1364440917969,"POLES ENGAGE, EN_NPi2020_600f"
AUS,2035,C4,211.6134948730468,610.5453852332547,263.2347717285156,"POLES ENGAGE, EN_INDCi2030_1000f"
AUS,2035,C5,300.2429809570312,620.4422727989916,334.4591979980469,"POLES ENGAGE, EN_INDCi2030_1800"
AUS,2035,C6,317.2547912597656,454.2593756323032,357.1698913574219,"POLES ENGAGE, EN_INDCi2030_3000f"
AUS,2035,C7,357.784912109375,707.1194342732364,603.9793090820313,"POLES GECO2019, CO_BAU"
BRA,2035,C1,12.19233989715576,793.79540225147,320.571913460015,"WITCH 5.0, EN_NPi2020_400f"
BRA,2035,C2,-692.041015625,1715.706370109784,1082.93349895226,"COFFEE 1.1, EN_INDCi2030_400f"
BRA,2035,C3,288.5325012207031,1772.962036132812,513.1167933269517,"COFFEE 1.1, EN_NPi2020_600"
BRA,2035,C5,298.1841125488281,1574.021061395178,847.475890988056,"WITCH 5.0, EN_INDCi2030_2500_NDCp"
CAN,2035,C1,48.06226244775456,460.093505859375,454.7572411726224,"GEM-E3_V2021, EN_NPi2020_600_COV"
CAN,2035,C2,256.0924377441406,542.6308824947213,539.1468898121904,"GEM-E3_V2021, EN_NPi2020_600f_COV"
CAN,2035,C4,347.2519378662109,748.3174638,607.4974903217872,"GEM-E3_V2021, EN_INDCi2030_1000f"
CAN,2035,C5,430.1924133300781,683.0404637,555.046192599126,"WITCH 5.0, EN_NPi2020_1800f"
CAN,2035,C6,458.1845092773438,727.751703920009,473.0208435058594,"POLES ENGAGE, EN_INDCi2030_3000"
CAN,2035,C7,485.3831176757813,2006.817337051012,619.8689575195313,"POLES GECO2019, CO_BAU"
CHN,2035,C1,3842.9560531841,7805.56787109375,7805.56787109375,"IMAGE 3.2, SSP2_SPA2_19I_LI"
CHN,2035,C2,5058.91380910157,9569.3779296875,7085.309361180423,"MESSAGEix-GLOBIOM_1.1, EN_NPi2020_700f"
CHN,2035,C3,5378.56678993486,12355.8321,10126.3071,"REMIND-MAgPIE 2.0-4.1, Diff_1300Gt_no-transfer_def"
CHN,2035,C4,7233.6234,12355.8321,10793.58842959353,"MESSAGEix-GLOBIOM_1.1, EN_INDCi2030_1400f"
CHN,2035,C5,8214.097100000001,16514.18713,12712.05853873195,"MESSAGEix-GLOBIOM_1.1, EN_INDCi2030_2500_NDCp"
CHN,2035,C6,10371.4835,15806.5148,15325.6796875,"IMAGE 3.2, SSP2_SPA2_45I_D"
CHN,2035,C7,11985.28240244355,19092.9164,16814.04102,"GCAM 5.3, NGFS2_Current Policies"
COL,2035,C2,137.4872001,147.829767,147.829767,"GCAM 5.3, NGFS2_Net-Zero 2050"
COL,2035,C3,195.7494993,195.7494993,195.7494993,"GCAM 5.3, NGFS2_Below 2°C"
