iso3,year,b2c_min,cp_min,dt_min,fw_min,ld_min,ndc_min,nz_min,b2c_max,cp_max,dt_max,fw_max,ld_max,ndc_max,nz_max,c8_ghg_med,c8_ghg_p5,c8_ghg_p95,c7_ghg_med,c7_ghg_p5,c7_ghg_p95,c6_ghg_med,c6_ghg_p5,c6_ghg_p95,c5_ghg_med,c5_ghg_p5,c5_ghg_p95,c4_ghg_med,c4_ghg_p5,c4_ghg_p95,c3_ghg_med,c3_ghg_p5,c3_ghg_p95,c2_ghg_med,c2_ghg_p5,c2_ghg_p95,c1_ghg_med,c1_ghg_p5,c1_ghg_p95,past_ghg_net,ndc_low,ndc_high,ndc35pt_low,ndc35pt_high
AFG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.75909486,,,,
AFG,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.236,54.236,54.236,,
AFG,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.283296,42.283296,,
AGO,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.029614,,,,
AGO,2020,215.0437,215.0437,215.0437,215.0437,215.0437,215.0437,215.0437,215.0437,215.0437,215.0437,215.0437,215.0437,215.0437,215.0437,,,,,,,,,,,,,,,,,,,,,,,,,211.52788,211.52788,211.52788,,
AGO,2021,199.6614200000004,199.6927799999976,201.4315199999983,202.0814599999976,204.7424999999967,200.5916399999987,203.3379400000013,202.0041799999999,202.2570199999973,203.9299599999977,203.915439999997,204.9972400000006,203.0170999999973,205.2854999999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2022,184.2791399999987,184.3418600000005,187.8193399999982,189.1192200000005,194.4412999999986,186.1395799999991,191.6321800000005,188.9646599999978,189.4703399999962,192.816219999997,192.7871799999994,194.9507799999992,190.9904999999962,195.5272999999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2023,168.8968600000007,168.9909399999997,174.2071599999981,176.1569799999997,184.1400999999969,171.6875199999995,179.9264199999998,175.9251399999994,176.6836599999988,181.7024799999963,181.658919999998,184.9043199999978,178.9638999999988,185.7691000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2024,153.5145799999991,153.6400199999989,160.594979999998,163.194739999999,173.8388999999988,157.2354599999999,168.220659999999,162.8856199999973,163.8969799999977,170.5887399999956,170.5306599999967,174.8578600000001,166.9372999999978,176.0109000000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2025,138.1323,138.2891,146.9828,150.2325,163.5377,142.7834,156.5149,149.8461,151.1103,159.475,159.4024,164.8114,154.9107,166.2527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2026,136.2765800000002,145.12428,155.4413200000017,157.6215599999996,169.1905200000001,146.9039200000007,159.1561799999999,153.8293999999996,158.6747199999991,168.8093000000008,167.9588399999993,170.2785400000012,163.144940000002,171.4186599999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2027,134.4208600000002,151.95946,163.8998400000019,165.0106199999991,174.8433399999994,151.0244400000011,161.7974599999998,157.8126999999995,166.2391399999997,178.1435999999994,176.5152799999996,175.7456800000018,171.3791799999999,176.5846199999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2028,132.5651400000002,158.7946400000001,172.358360000002,172.3996800000004,180.4961600000006,155.1449599999996,164.4387399999996,161.7959999999994,173.8035600000003,187.477899999998,185.0717199999999,181.2128200000006,179.6134200000015,181.7505799999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2029,130.7094200000001,165.6298200000001,180.8168800000021,179.78874,186.1489799999999,159.26548,167.0800199999994,165.7792999999992,181.3679799999991,196.8122000000003,193.6281600000002,186.6799600000013,187.8476599999995,186.9165400000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
