iso3,year,past_ghg_net,ndc_low,ndc_high,ndc35pt_low,ndc35pt_high,ndc30pt_low,ndc30pt_high,nz_year,peak_net_ghg,s2z_pk_low,s2z_pk_high,s2z_ndc30_low,s2z_ndc30_high,s2z_latest,nz_ghg,ndc35_base
ABW,1990,.50707764,,,,,,,,,,,,,,,
ABW,1991,.55240647,,,,,,,,,,,,,,,
ABW,1992,.56057985,,,,,,,,,,,,,,,
ABW,1993,.67142295,,,,,,,,,,,,,,,
ABW,1994,.6837977399999999,,,,,,,,,,,,,,,
ABW,1995,.73247926,,,,,,,,,,,,,,,
ABW,1996,.74920448,,,,,,,,,,,,,,,
ABW,1997,.78536852,,,,,,,,,,,,,,,
ABW,1998,.8339806599999999,,,,,,,,,,,,,,,
ABW,1999,.83809156,,,,,,,,,,,,,,,
ABW,2000,2.4558868,,,,,,,,,,,,,,,
ABW,2001,2.4852905,,,,,,,,,,,,,,,
ABW,2002,2.5149108,,,,,,,,,,,,,,,
ABW,2003,2.6442825,,,,,,,,,,,,,,,
ABW,2004,2.7062036,,,,,,,,,,,,,,,
ABW,2005,2.8102364,,,,,,,,,,,,,,,
ABW,2006,2.7792926,,,,,,,,,,,,,,,
ABW,2007,2.8868498,,,,,,,,,,,,,,,
ABW,2008,2.7180586,,,,,,,,,,,,,,,
ABW,2009,2.6856444,,,,,,,,,,,,,,,
ABW,2010,2.5549496,,,,,,,,,,,,,,,
ABW,2011,2.5501568,,,,,,,,,,,,,,,
ABW,2012,1.3812517,,,,,,,,,,,,,,,
ABW,2013,.89292102,,,,,,,,,,,,,,,
ABW,2014,.90285078,,,,,,,,,,,,,,,
ABW,2015,.9287365200000001,,,,,,,,,,,,,,,
ABW,2016,.91475465,,,,,,,,,,,,,,,
ABW,2017,.92186693,,,,,,,,,,,,,,,
ABW,2018,.90356786,,,,,,,,,,,,,,,
ABW,2019,.92352493,,,,,,,,,,,,,,,
ABW,2020,.92098846,,,,,,,,,,,,,,,
ABW,2021,.93056569,,,,,,,,,,,,,,,
ABW,2022,.9407313,,,,,,,,,,,,,,,
ABW,2023,.94958548,,,,,,,,,,,,,,,
ABW,2024,.9924756,,,,,,,,,,,,,.9924756,,
AFG,2005,28.75909486,,,,,,,,,,,,,,,
AFG,2013,54.236,54.236,54.236,,,,,,,,,,,54.236,,
AFG,2030,,42.283296,42.283296,,,42.283296,42.283296,,,,,,,,,
AGO,1998,,,,,,,,,239.93384,,,,,,,
AGO,2019,222.029614,,,,,,,,,,,,,,,
AGO,2020,211.52788,211.52788,211.52788,,,,,,,,,,,211.52788,,211.52788
AGO,2030,,144.80448,178.74303,,,144.80448,178.74303,,,,,,,,,
AGO,2035,,189.013,200.951486,189.013,200.951486,,,,,,,,,,,
AIA,1990,.050033438,,,,,,,,,,,,,,,
AIA,1991,.050099412,,,,,,,,,,,,,,,
AIA,1992,.050170779,,,,,,,,,,,,,,,
AIA,1993,.057666775,,,,,,,,,,,,,,,
AIA,1994,.057904875,,,,,,,,,,,,,,,
AIA,1995,.061844303,,,,,,,,,,,,,,,
AIA,1996,.0655859,,,,,,,,,,,,,,,
AIA,1997,.065670815,,,,,,,,,,,,,,,
AIA,1998,.069303175,,,,,,,,,,,,,,,
AIA,1999,.069251077,,,,,,,,,,,,,,,
AIA,2000,.080295446,,,,,,,,,,,,,,,
