iso3,year,primap_net,primap_gross,unfccc_net,unfccc_gross,past_ghg_net,past_ghg_net_source,past_ghg_gross,past_ghg_gross_source,ndc_low,ndc_high,ndc35pt_low,ndc35pt_high,ndc40pt_low,ndc40pt_high,ndc30pt_low,ndc30pt_high,ndc35pt_base
ABW,1990,.50707764,.50707764,,,.50707764,primap,.50707764,primap,,,,,,,,,
ABW,1991,.55240647,.55240647,,,.55240647,primap,.55240647,primap,,,,,,,,,
ABW,1992,.56057985,.56057985,,,.56057985,primap,.56057985,primap,,,,,,,,,
ABW,1993,.67142295,.67142295,,,.67142295,primap,.67142295,primap,,,,,,,,,
ABW,1994,.6837977399999999,.6837977399999999,,,.6837977399999999,primap,.6837977399999999,primap,,,,,,,,,
ABW,1995,.73247926,.73247926,,,.73247926,primap,.73247926,primap,,,,,,,,,
ABW,1996,.74920448,.74920448,,,.74920448,primap,.74920448,primap,,,,,,,,,
ABW,1997,.78536852,.78536852,,,.78536852,primap,.78536852,primap,,,,,,,,,
ABW,1998,.8339806599999999,.8339806599999999,,,.8339806599999999,primap,.8339806599999999,primap,,,,,,,,,
ABW,1999,.83809156,.83809156,,,.83809156,primap,.83809156,primap,,,,,,,,,
ABW,2000,2.4558868,2.4558868,,,2.4558868,primap,2.4558868,primap,,,,,,,,,
ABW,2001,2.4852905,2.4852905,,,2.4852905,primap,2.4852905,primap,,,,,,,,,
ABW,2002,2.5149108,2.5149108,,,2.5149108,primap,2.5149108,primap,,,,,,,,,
ABW,2003,2.6442825,2.6442825,,,2.6442825,primap,2.6442825,primap,,,,,,,,,
ABW,2004,2.7062036,2.7062036,,,2.7062036,primap,2.7062036,primap,,,,,,,,,
ABW,2005,2.8102364,2.8102364,,,2.8102364,primap,2.8102364,primap,,,,,,,,,
ABW,2006,2.7792926,2.7792926,,,2.7792926,primap,2.7792926,primap,,,,,,,,,
ABW,2007,2.8868498,2.8868498,,,2.8868498,primap,2.8868498,primap,,,,,,,,,
ABW,2008,2.7180586,2.7180586,,,2.7180586,primap,2.7180586,primap,,,,,,,,,
ABW,2009,2.6856444,2.6856444,,,2.6856444,primap,2.6856444,primap,,,,,,,,,
ABW,2010,2.5549496,2.5549496,,,2.5549496,primap,2.5549496,primap,,,,,,,,,
ABW,2011,2.5501568,2.5501568,,,2.5501568,primap,2.5501568,primap,,,,,,,,,
ABW,2012,1.3812517,1.3812517,,,1.3812517,primap,1.3812517,primap,,,,,,,,,
ABW,2013,.89292102,.89292102,,,.89292102,primap,.89292102,primap,,,,,,,,,
ABW,2014,.90285078,.90285078,,,.90285078,primap,.90285078,primap,,,,,,,,,
ABW,2015,.9287365200000001,.9287365200000001,,,.9287365200000001,primap,.9287365200000001,primap,,,,,,,,,
ABW,2016,.91475465,.91475465,,,.91475465,primap,.91475465,primap,,,,,,,,,
ABW,2017,.92186693,.92186693,,,.92186693,primap,.92186693,primap,,,,,,,,,
ABW,2018,.90356786,.90356786,,,.90356786,primap,.90356786,primap,,,,,,,,,
ABW,2019,.92352493,.92352493,,,.92352493,primap,.92352493,primap,,,,,,,,,
ABW,2020,.92098846,.92098846,,,.92098846,primap,.92098846,primap,,,,,,,,,
ABW,2021,.93056569,.93056569,,,.93056569,primap,.93056569,primap,,,,,,,,,
ABW,2022,.9407313,.9407313,,,.9407313,primap,.9407313,primap,,,,,,,,,
ABW,2023,.94958548,.94958548,,,.94958548,primap,.94958548,primap,,,,,,,,,
ABW,2024,.9924756,.9924756,,,.9924756,primap,.9924756,primap,,,,,,,,,
AFG,2005,24.044099,23.600429,28.75909486,19.32802486,28.75909486,unfccc,19.32802486,unfccc,,,,,,,,,
AFG,2013,42.915778,42.472108,54.236,43.228,54.236,unfccc,43.228,unfccc,54.236,54.236,,,,,,,
AFG,2014,44.21505399999999,43.771384,,,,,,,53.53289976470614,53.53289976470614,,,,,,,
AFG,2015,44.081896,43.638226,,,,,,,52.82979952941196,52.82979952941196,,,,,,,
AFG,2016,45.050699,44.607029,,,,,,,52.12669929411777,52.12669929411777,,,,,,,
AFG,2017,45.763504,45.319834,,,,,,,51.42359905882381,51.42359905882381,,,,,,,
AFG,2018,47.99703899999999,47.553369,,,,,,,50.72049882352962,50.72049882352962,,,,,,,
AFG,2019,48.729428,48.285758,,,,,,,50.01739858823544,50.01739858823544,,,,,,,
AFG,2020,51.006557,50.562887,,,,,,,49.31429835294148,49.31429835294148,,,,,,,
AFG,2021,49.332657,48.888987,,,,,,,48.61119811764729,48.61119811764729,,,,,,,
AFG,2022,50.440415,49.996745,,,,,,,47.9080978823531,47.9080978823531,,,,,,,
AFG,2023,52.220347,51.77667700000001,,,,,,,47.20499764705892,47.20499764705892,,,,,,,
AFG,2024,52.567365,52.123694,,,,,,,46.50189741176496,46.50189741176496,,,,,,,
AFG,2025,,,,,,,,,45.79879717647077,45.79879717647077,,,,,,,
AFG,2026,,,,,,,,,45.09569694117658,45.09569694117658,,,,,,,
AFG,2027,,,,,,,,,44.39259670588262,44.39259670588262,,,,,,,
AFG,2028,,,,,,,,,43.68949647058844,43.68949647058844,,,,,,,
AFG,2029,,,,,,,,,42.98639623529425,42.98639623529425,,,,,,,
AFG,2030,,,,,,,,,42.283296,42.283296,,,,,42.283296,42.283296,
AGO,2005,224.25817,92.139825,,16.008278,,,16.008278,unfccc,,,,,,,,,
AGO,2006,214.33775,83.307034,,16.832832,,,16.832832,unfccc,,,,,,,,,
AGO,2007,214.63008,83.59936400000001,,17.877001,,,17.877001,unfccc,,,,,,,,,
AGO,2008,214.9545,83.92378500000001,,18.614905,,,18.614905,unfccc,,,,,,,,,
AGO,2009,216.01024,84.97952099999999,,22.928116,,,22.928116,unfccc,,,,,,,,,
AGO,2010,224.73877,93.708052,,21.567414,,,21.567414,unfccc,,,,,,,,,
AGO,2011,225.02729,93.996577,,22.096813,,,22.096813,unfccc,,,,,,,,,
AGO,2012,225.83618,94.805466,,26.059974,,,26.059974,unfccc,,,,,,,,,
AGO,2013,227.15687,96.126153,,30.612857,,,30.612857,unfccc,,,,,,,,,
AGO,2014,224.55786,93.527148,,30.002002,,,30.002002,unfccc,,,,,,,,,
AGO,2015,229.111,98.080285,,29.695331,,,29.695331,unfccc,,,,,,,,,
AGO,2016,226.34558,95.31486199999999,,30.575351,,,30.575351,unfccc,,,,,,,,,
AGO,2017,223.26795,92.237235,,22.745254,,,22.745254,unfccc,,,,,,,,,
AGO,2018,216.13184,85.101128,,30.139468,,,30.139468,unfccc,,,,,,,,,
AGO,2019,216.7559,85.72518799999999,222.029614,35.748077,222.029614,unfccc,35.748077,unfccc,,,,,,,,,
AGO,2020,211.06897,80.038257,211.52788,33.354113,211.52788,unfccc,33.354113,unfccc,211.52788,211.52788,,,,,,,211.52788
AGO,2021,213.68752,82.656801,,,,,,,204.8555399999987,208.2493949999989,,,,,,,
AGO,2022,215.04896,84.01824499999999,,,,,,,198.1831999999995,204.9709099999991,,,,,,,
AGO,2023,215.51434,84.483627,,,,,,,191.5108599999985,201.6924249999993,,,,,,,
AGO,2024,213.32173,82.291011,,,,,,,184.8385199999993,198.4139399999995,,,,,,,
AGO,2025,,,,,,,,,178.1661800000002,195.1354549999996,,,,,,,
AGO,2026,,,,,,,,,171.4938399999992,191.8569699999989,,,,,,,
AGO,2027,,,,,,,,,164.8215,188.5784849999991,,,,,,,
AGO,2028,,,,,,,,,158.149159999999,185.2999999999993,,,,,,,
AGO,2029,,,,,,,,,151.4768199999999,182.0215149999995,,,,,,,
AGO,2030,,,,,,,,,144.80448,178.74303,,,,,144.80448,178.74303,
AGO,2031,,,,,,,,,153.6461839999974,183.1847211999993,,,,,,,
AGO,2032,,,,,,,,,162.4878879999997,187.626412399999,,,,,,,
AGO,2033,,,,,,,,,171.3295919999982,192.0681036000005,,,,,,,
AGO,2034,,,,,,,,,180.1712960000004,196.5097948000002,,,,,,,
AGO,2035,,,,,,,,,189.013,200.951486,189.013,200.951486,,,,,
